DMSO_RPMI8226	KB528_1Hr_RPMI8226	KB528_3Hr_RPMI8226	KB528_6Hr_RPMI8226	KB528_24Hr_RPMI8226
DDX11L1	0.0343136393453494	0.0461588854204915	0.0337934814866743	0.0127077307279072	0
WASH7P	22.3276921536931	22.1501223056143	22.1914525846016	27.3272649072652	30.5577448364837
MIR6859-3	0	0	0	0	0
MIR6859-2	0	0	0	0	0
MIR6859-4	0	0	0	0	0
MIR6859-1	0	0	0	0	0
MIR1302-11	0	0	0	0	0
MIR1302-9	0	0	0	0	0
MIR1302-2	0	0	0	0	0
MIR1302-10	0	0	0	0	0
FAM138A	0	0	0	0	0
FAM138F	0	0	0	0	0
OR4F5	0	0	0	0	0
LOC729737	0.21361426354361	0.250189335406957	0.183746675044387	0.337404529733993	0.365650527810885
LOC100133331	0.233743374512683	0.31628788013938	0.217173416238444	0.326551822571945	0.476223171896149
LOC100132287	0	0	0	0	0
LOC100132062	0	0	0	0	0
OR4F3	0	0	0	0	0
OR4F29	0	0	0	0	0
OR4F16	0	0	0	0	0
LOC101928626	0.0154021602816376	0	0	0	0.0179360267551569
MIR6723	0	0.143718493780345	0	0.117939163834285	0.150147706499864
LOC100288069	3.93523408270756	4.81113667175914	3.26918261520455	5.16737471279671	7.06785309715465
FAM87B	0	0.00621716611596494	0.018168689974613	0.0187785852738686	0
LINC00115	3.07425965300574	3.94424155894914	2.61438489018353	2.60525962461215	3.73970384795626
LINC01128	4.05569346436311	6.07430766297223	8.61835001101421	7.03850952251506	4.18916391374676
FAM41C	0.0635866143643479	0.0795046504099538	0.0266127076449377	0	0.0503386260865717
LOC100130417	1.15173244031506	1.12996569776074	0.705059084119799	0.170269233435045	0.773039101995257
SAMD11	1.12582712577205	1.06877316970604	0.704864205900326	0.363461727525207	0.931271477929278
NOC2L	364.904924401179	365.332616051845	360.59320542611	389.329235624726	315.139339648955
KLHL17	16.974826983072	13.9617637011537	10.195702845636	18.5127434180911	24.7623234842252
PLEKHN1	7.84969880227744	7.19196515772623	3.85208348620092	3.23460966389859	7.96510301115947
PERM1	0.0069104412653288	0.0209950855751636	0.0129992770406495	0.0145508851516729	0.0160255328483516
HES4	43.8331504846951	43.2099393770948	43.7552225577156	31.9404152147133	45.5883879578303
ISG15	45.6491432677028	37.6395083875538	36.5164677651876	30.1322466506716	33.0531559505466
AGRN	22.2659948258564	27.1729501136797	20.8510334076329	15.036056067705	24.0016379660175
RNF223	1.48783239156768	2.00972166338215	1.07790130502457	0.525333275124366	0.236037180881992
C1orf159	30.3113827353625	34.8128399061898	26.5676367627964	30.1354297488814	38.4768277447001
LINC01342	0.405561043679232	0.247006797343126	0.0840829836990339	0.0911201462232408	0.495267491874564
MIR200B	0	0	0	0	0
MIR200A	0	0.410703197836916	0.130814567817214	0	0
MIR429	0.287574266631876	0.308215564974716	0	0	0.517335518696936
TTLL10	0.0185007034606885	0.0379127079184998	0.0651488140880199	0.0488975527433727	0.0173124125223642
TNFRSF18	339.191922101126	303.725796655291	267.241689696642	233.393261963436	205.235231561097
TNFRSF4	0.471805203779325	0.443736294580799	0.582806511599405	0.260871825805377	0.247478258391164
SDF4	348.019965981841	361.19120984662	357.304340555409	377.331665957862	354.750073335963
B3GALT6	32.7945439019266	35.1439366068169	37.7715528528844	37.0469278565394	39.274669778936
FAM132A	2.18172945325759	3.64702729702977	3.0349878104108	2.2157637304497	3.44215124262329
UBE2J2	75.3474066695354	80.9302746865541	87.0077331297137	102.56879452939	84.7976218433217
SCNN1D	0.193680473759612	0.392268696914023	0.358010516821875	0.265134746759027	0.507826057279892
ACAP3	132.301405471865	148.340905279349	104.871092286222	84.6942169129839	115.971641792335
MIR6726	0	0	0	0	0
PUSL1	110.59544105262	106.91006488463	114.892800005419	116.28273564022	100.467783540054
CPSF3L	144.819553084949	143.46341005697	138.32919100238	142.555565420348	152.637615094581
MIR6727	0	0	0	0	0
CPTP	110.173043197625	100.953462728779	73.0252424773597	103.445233607727	95.8365594028012
TAS1R3	0.466863124149204	0.858034315535167	0.694009238408336	0.52051895637315	0.645746816241576
DVL1	97.4905159763086	94.1513476475634	83.7103473235625	97.321877656142	113.126792949758
MIR6808	0.351700721888876	0.433591388015279	0.18520895792513	0	0.232578364622897
MXRA8	0.124223755088084	0.150196838748612	0.223762471998801	0.140716989376871	0.114668242280656
AURKAIP1	492.074156092231	445.750277046798	474.137023699748	482.688184691133	411.143152460115
CCNL2	79.2590841202006	109.089923334984	117.191718707018	108.988763459163	105.607736088453
LOC148413	49.8567565872657	41.4058326179136	37.1412566295159	41.7617027225096	54.9523826785796
MRPL20	385.365595655809	352.053494824507	397.282264460932	395.054894959955	321.989016569073
ANKRD65	0.00528181579639546	0.0325431474095313	0	0.014365764937844	0.018288977023478
TMEM88B	0	0	0.0239294941129049	0	0.0278904949446157
LOC102724312	0	0	0	0.0203827860259076	0
VWA1	0.300511305100974	0.354471541127248	0.400930293079123	0.469086730919594	0.3821822499049
ATAD3C	14.6539766287745	14.3599493752247	13.8588512904214	13.5138979693089	16.6374729981997
ATAD3B	121.4306304918	129.841541010177	145.495613263935	119.435805608059	97.4671214978421
ATAD3A	184.082055499692	196.521005688206	211.278239678563	212.301400819458	151.163501600665
TMEM240	0.618009797091099	0.707675990552285	1.03154044215913	0.867296511667481	0.630997529862655
SSU72	443.770809280972	441.378292130866	420.466110207004	420.623802501757	467.358054437201
C1orf233	40.4940515072198	43.0955458214496	37.5150247181042	29.9749905137849	42.0885453357889
MIB2	33.7750490602462	32.7784063583261	32.8243964767291	31.4303602603252	36.3899019998057
MMP23B	0.0468649189972687	0.131429032477216	0.100384827143815	0.172172552623007	0.0891932759221556
MMP23A	0.0328580943237909	0.10386023283282	0.0941930399842563	0.0593243256468915	0.0381906420538736
CDK11B	42.8119259537449	47.0099012650057	47.0061263224924	56.4934474938585	52.241067900847
SLC35E2B	20.1210936039984	21.6740839950951	14.0410576056314	20.350246559486	32.8193923943422
CDK11A	14.5824995403256	17.6818528913282	17.2539834768714	20.7380285631436	18.6265969667413
