DMSO_0	KB528_1	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	32.1701679513853	43.2552533382055	0.427151890377438	0.35479146913387
LOC729737	34.5470193502921	37.3609414432878	0.112969566338044	0.854123569873739
LOC100133331	2.72806618174028	3.1682443262405	0.215804952396704	0.525254926161639
LOC100288069	9.09823837636952	7.02623375027621	-0.372835660883238	0.180863792920635
LINC00115	5.34888350080838	5.41734230185166	0.0183474702692855	0.590986726771256
LINC01128	10.7789703409496	12.8719856679563	0.256015253327784	0.127596906709882
NOC2L	66.3904131514792	111.123040580243	0.743111145426608	0.0602198337891365
KLHL17	23.7958974228313	30.3099457073915	0.349078403524253	0.265519601673554
PLEKHN1	1.8403541903555	2.75217958204302	0.580591159391628	0.3438645844252
HES4	706.312989433897	620.951296753174	-0.18582751101885	0.508217807865947
ISG15	851.75421210233	675.056323763065	-0.335429297383614	0.217493231560179
AGRN	7.8438635760125	16.1330903635974	1.04038647060979	0.0751576689033819
C1orf159	23.6038246854304	30.7016195250392	0.379294112406576	0.256087459967168
TNFRSF18	58.5572871161717	88.5056128952999	0.595920234722727	0.216775938809003
TNFRSF4	172.954896544698	149.071404433645	-0.214392318858684	0.549406264570992
SDF4	181.158872352852	230.335738512113	0.346482810389852	0.131424596620847
B3GALT6	17.6746544888162	30.4492876438517	0.784726463976594	0.00817674423962446
FAM132A	3.80819694962424	9.85807987067363	1.372198576994	0.111275566900528
UBE2J2	42.5155018056773	89.9595110001987	1.0812868530016	0.0600312969694915
SCNN1D	12.5825106006379	12.323524226523	-0.0300049227573834	0.900803273916852
ACAP3	72.7632744203764	83.6189830970554	0.200620031483817	0.472789260692637
PUSL1	38.7604729100293	43.3352543478444	0.160954999325786	0.205405744911752
CPSF3L	94.6423774284259	140.707615432265	0.572142192862965	0.13657595198875
GLTPD1	10.7213010410949	27.3979035901887	1.35358551750836	0.00133181001594538
TAS1R3	1.40852616998499	0.808885946312948	-0.800178168057806	0.136189779399508
DVL1	44.3258211402976	61.0259157083431	0.461274680707859	0.151314607606163
MXRA8	0.987154602982088	0.534229469483622	-0.885816488746002	0.263221782537798
AURKAIP1	138.554936763991	192.291598634789	0.472837616121868	0.149912890996538
CCNL2	211.743794129851	316.345522268336	0.579181488178712	0.212067615176781
LOC148413	29.1494669938192	54.3575612381492	0.89901122719896	0.00573532831547401
MRPL20	96.3038890293996	151.136292340747	0.650184171747095	0.00888972038106665
ATAD3B	76.4090179706939	137.488646163078	0.847497661883153	0.126484615421791
ATAD3A	16.9607640319029	30.1238670508423	0.828705822576997	0.0242117526150502
