DMSO_MM1S	KB528_3_MM1S	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	37.8063782529313	34.4201890200485	-0.135374629701187	0.169090139887971
LOC100133331	0.444741116895876	0.614233434570208	0.465821254782162	0.0589718632641478
LOC100288069	1.67667737667142	2.64366366491139	0.65693352963386	0.164471177322696
LINC00115	3.23168687156123	4.26081124479296	0.398840723569968	0.0356380628155274
LINC01128	3.72442382196097	6.21114563114743	0.737842140516956	0.00343124368442104
NOC2L	124.327920380898	137.891119831969	0.149379230998735	0.163483050888881
KLHL17	14.6042855453734	16.4508170533869	0.17176745728515	0.154886966647952
PLEKHN1	3.78885085081107	2.4506147141767	-0.628616667450545	0.0137280508668573
ISG15	10.5766325240114	10.5058313950729	-0.00969002693456692	0.967088028133936
C1orf159	20.3802714672535	19.0403231073183	-0.0981153076131933	0.191552625271519
SDF4	234.90541178215	246.41143564344	0.0689892605073955	0.117292627487466
B3GALT6	20.7614099863506	22.5448806790719	0.118895448461966	0.0203329222152724
UBE2J2	71.1783240727035	87.4009501318129	0.296210998973578	0.00156712311265509
SCNN1D	0.285784261957534	0.304965400889352	0.0937191045951022	0.816250929269685
ACAP3	32.0956945063626	33.6649868835476	0.0688691234800925	0.354841764672072
PUSL1	68.964642052378	71.5126163110342	0.0523408993352001	0.407593446492686
CPSF3L	84.6953793997998	92.4920059581538	0.127045414812761	0.0476921389064614
CPTP	51.3229712806349	61.4256224065118	0.259235875126732	0.0771608296508816
TAS1R3	0.252807167375453	0.356871610950778	0.497367773747365	0.268662111660688
DVL1	31.2832792470995	33.7785950504144	0.110717573487305	0.135349791161296
AURKAIP1	326.463360884935	301.167245315254	-0.116356214310975	0.262164378364864
CCNL2	57.5017880592608	78.8208049804592	0.454969665105317	0.0105606329227797
LOC148413	60.8175574341338	49.774223877157	-0.289089055380532	0.00457436786137216
MRPL20	288.979307135079	277.284015500184	-0.0596017375305772	0.39600747031358
ATAD3C	15.8190141647124	13.5320947117132	-0.225274514610193	0.0310367549465873
ATAD3B	60.6077750782211	62.7605698018473	0.0503555686253465	0.0475711880854973
ATAD3A	95.8112556321698	92.1373607472559	-0.056408876724615	0.180043310270381
SSU72	210.080732156757	200.699052710841	-0.0659100420483396	0.119166795817915
MIB2	7.3993003799346	8.27406905606413	0.161208131262795	0.1078280772792
CDK11B	29.4714281425903	34.5905559875866	0.231061229839476	0.0542340702470836
SLC35E2B	30.0210777201124	22.3079669819172	-0.428416728126523	0.160484247519322
CDK11A	13.0824596095807	15.8013253381011	0.272411764877642	0.0276867761804818
SLC35E2	5.27507603987736	3.90551839997917	-0.433677832753602	0.0628153713070356
NADK	64.2443027133215	50.0125002122289	-0.36127978980134	0.0211324997718375
GNB1	137.245650367315	164.997658976775	0.265685127734308	0.0978204653666211
TMEM52	11.3389507779352	8.25598122998386	-0.4577755542978	0.086016883269946
FAAP20	9.55989234939809	8.14485964831281	-0.231104534074882	0.130260527419196
SKI	5.80987422228172	14.9368497441141	1.36229707241342	0.00176356354260049
MORN1	0.790871842386014	1.00662904694408	0.348016297665387	0.0400877229274656
RER1	91.000919537295	94.0045029760564	0.0468487426087123	0.103501919977144
PEX10	32.0302593870648	33.3491601815596	0.058214949684705	0.0693724225996728
