DMSO_MM1S	KB528_1_MM1S	KB528_3_MM1S	KB528_6_MM1S	KB528_24_MM1S
DDX11L1	0.0679552400872347	0.158578074585635	0.0250800759012613	0.116602482123199	0.139670786000972
WASH7P	37.8063782529313	32.4148092598351	34.4201890200485	43.0662107457514	67.6359526521884
MIR6859-3	0	0	0	0	0
MIR6859-2	0	0	0	0	0
MIR6859-4	0	0	0	0	0
MIR6859-1	0	0	0	0	0
MIR1302-11	0	0	0	0	0
MIR1302-9	0	0	0	0	0
MIR1302-2	0	0	0	0	0
MIR1302-10	0	0	0	0	0
FAM138A	0	0	0	0	0
FAM138F	0	0	0	0	0
OR4F5	0	0	0	0	0
LOC729737	0.127833487263404	0.123888059732056	0.158317436140182	0.20454357619982	0.23475131721062
LOC100133331	0.444741116895876	0.386658776566089	0.614233434570208	0.793764540622798	1.09327978527073
LOC100132287	0	0	0	0	0
LOC100132062	0	0	0	0	0
OR4F3	0	0	0	0	0
OR4F29	0	0	0	0	0
OR4F16	0	0	0	0	0
LOC101928626	0	0	0	0	0
MIR6723	0	0.325961197953469	0	0	0.1593730166993
LOC100288069	1.67667737667142	1.60270067801948	2.64366366491139	3.12633490475782	4.84652398619961
FAM87B	0	0	0.0213129040066274	0.0462197504019249	0.00729639839827042
LINC00115	3.23168687156123	3.17169359013849	4.26081124479296	3.61738058844721	5.15799842969568
LINC01128	3.72442382196097	4.1982928450238	6.21114563114743	4.82674254487261	3.41256646593457
FAM41C	0.00694822158154795	0.00793619553363178	0	0	0
LOC100130417	0	0	0	0	0
SAMD11	0.101741341093618	0.070457410154722	0.122681441353966	0.105541732319509	0.0961249437537062
NOC2L	124.327920380898	117.654816779173	137.891119831969	119.506981814006	94.7815507021591
KLHL17	14.6042855453734	12.2145391214354	16.4508170533869	19.9567896449979	34.0908517151929
PLEKHN1	3.78885085081107	3.26619716872169	2.4506147141767	2.17784885222857	8.61424887021646
PERM1	0	0	0.0119954503152529	0	0.0125588725255899
HES4	0	0	0	0	0
ISG15	10.5766325240114	11.5270243601971	10.5058313950729	12.1354358540416	16.0026827623229
AGRN	0.319580201417438	0.275954467955761	0.275857586774457	0.280161036479089	0.317961248403941
RNF223	0	0.0377641966735613	0.0707809474532674	0.127466474529026	0.0252837762678034
C1orf159	20.3802714672535	18.9442870211711	19.0403231073183	17.3318605101982	17.4208341790791
LINC01342	0.119924733330975	0.0352626511169122	0	0.0172387034397156	0.106954328711498
MIR200B	0	0	0	0	0
MIR200A	0	0	0	0	0
MIR429	0	0	0	0	0
TTLL10	0	0	0	0.00492539946053246	0
TNFRSF18	0.0197561100302013	0	0.0165450464672013	0.0256859581866768	0
TNFRSF4	0.0120003909722617	0.0487319413591539	0.0539512384800041	0.0282027380361142	0.0404577671253696
SDF4	234.90541178215	228.540893654448	246.41143564344	244.640426544829	289.048273361383
B3GALT6	20.7614099863506	24.9811131379721	22.5448806790719	18.0680687469322	26.2394233454928
FAM132A	0.0695270965714103	0.466348176803424	0.336828704574986	0.283871758092256	1.13755346460204
UBE2J2	71.1783240727035	75.2879416741072	87.4009501318129	76.4733023657533	84.0409408783286
SCNN1D	0.285784261957534	0.200665049006405	0.304965400889352	0.442572631353258	0.818348120307046
ACAP3	32.0956945063626	29.5744363000454	33.6649868835476	28.5375889893295	24.9829804041256
MIR6726	0	0	0	0	0
PUSL1	68.964642052378	74.8747195703307	71.5126163110342	54.5607269085314	37.1906297486948
CPSF3L	84.6953793997998	81.7457459890405	92.4920059581538	86.4769708773711	106.488311371598
MIR6727	0	0	0.305447011702177	0.241911505844061	0
CPTP	51.3229712806349	58.2154238185709	61.4256224065118	56.3088971131627	69.3181167321454
TAS1R3	0.252807167375453	0.283962192143397	0.356871610950778	0.337206436887496	0.889753139883106
DVL1	31.2832792470995	31.3553745646539	33.7785950504144	29.334800948521	37.72349205432
MIR6808	0.465400632859467	0	0	0.211536394126334	0
MXRA8	0.0123194761596128	0.021999230356548	0.0207949530628739	0.0229709901094711	0.0605209897576891
AURKAIP1	326.463360884935	326.106240576753	301.167245315254	305.550359121748	228.714357206463
CCNL2	57.5017880592608	56.4965405133114	78.8208049804592	83.7832120777889	151.144760045775
LOC148413	60.8175574341338	47.9188681560819	49.774223877157	52.6500445709195	88.0174447386591
MRPL20	288.979307135079	279.108864481836	277.284015500184	250.088899891846	204.739219894108
ANKRD65	0	0	0	0	0
TMEM88B	0	0	0	0	0.0290766034858006
LOC102724312	0	0	0	0	0
