KB528_1Hr_RPMI8226	KB528_24Hr_RPMI8226	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	22.1501223056143	30.5577448364837	0.464223411431436	0.0051314931952632
LOC100288069	4.81113667175914	7.06785309715465	0.554894271111248	0.0474931686239673
LINC00115	3.94424155894914	3.73970384795626	-0.0768238843115387	0.64251620801751
LINC01128	6.07430766297223	4.18916391374676	-0.536057647561949	0.00313830858321956
LOC100130417	1.12996569776074	0.773039101995257	-0.547665681822876	0.111394257998644
SAMD11	1.06877316970604	0.931271477929278	-0.1986819973585	0.447678229822673
NOC2L	365.332616051845	315.139339648955	-0.213220699024289	0.0478473348821527
KLHL17	13.9617637011537	24.7623234842252	0.826665491458556	0.00865876845277291
PLEKHN1	7.19196515772623	7.96510301115947	0.147306988398316	0.361960194595752
HES4	43.2099393770948	45.5883879578303	0.0773031883950162	0.407253242017927
ISG15	37.6395083875538	33.0531559505466	-0.187459756671946	0.114090207147219
AGRN	27.1729501136797	24.0016379660175	-0.179038340254622	0.00237736461550793
RNF223	2.00972166338215	0.236037180881992	-3.08990967124518	0.00640700445651326
C1orf159	34.8128399061898	38.4768277447001	0.144370351040602	0.0083043890256329
TNFRSF18	303.725796655291	205.235231561097	-0.565491036180244	0.00269548923614837
TNFRSF4	0.443736294580799	0.247478258391164	-0.842400774281832	0.176144062832321
SDF4	361.19120984662	354.750073335963	-0.025959800476235	0.5608999350637
B3GALT6	35.1439366068169	39.274669778936	0.160323343214015	0.0726290236673957
FAM132A	3.64702729702977	3.44215124262329	-0.0834105094185657	0.772377120401758
UBE2J2	80.9302746865541	84.7976218433217	0.0673443127033672	0.156153378023689
ACAP3	148.340905279349	115.971641792335	-0.355144408019657	0.0157519608405235
PUSL1	106.91006488463	100.467783540054	-0.0896647254140264	0.0268945041544923
CPSF3L	143.46341005697	152.637615094581	0.0894277065985762	0.256995042304814
CPTP	100.953462728779	95.8365594028012	-0.0750423758725139	0.038634466771377
DVL1	94.1513476475634	113.126792949758	0.264887007388679	0.0124320911597166
AURKAIP1	445.750277046798	411.143152460115	-0.116594893355507	0.141404089539782
CCNL2	109.089923334984	105.607736088453	-0.0468023253191827	0.0364724422354769
LOC148413	41.4058326179136	54.9523826785796	0.408348029533857	0.0146923850325099
MRPL20	352.053494824507	321.989016569073	-0.128783187120033	0.00957058569851134
ATAD3C	14.3599493752247	16.6374729981997	0.212385661644223	0.0316139739715997
ATAD3B	129.841541010177	97.4671214978421	-0.41376448463504	0.0163815583547166
ATAD3A	196.521005688206	151.163501600665	-0.37857368399714	0.0151506140188693
TMEM240	0.707675990552285	0.630997529862655	-0.165454615994411	0.546196461909496
SSU72	441.378292130866	467.358054437201	0.0825125807749849	0.0319494600604112
C1orf233	43.0955458214496	42.0885453357889	-0.0341111178699398	0.228007610609397
MIB2	32.7784063583261	36.3899019998057	0.150792451654673	0.0714420386143775
CDK11B	47.0099012650057	52.241067900847	0.152219738012876	0.0879270686363904
SLC35E2B	21.6740839950951	32.8193923943422	0.598577507020839	0.000176257623810386
CDK11A	17.6818528913282	18.6265969667413	0.0750946580561316	0.490997770881339
SLC35E2	2.46380650788217	6.92665742878302	1.49127036418877	1.71498362064751e-05
NADK	153.511271912331	129.564714995938	-0.244671717243627	0.000331169342671291
GNB1	314.896429117944	367.23888146601	0.221841414766545	0.00172436388616086
CALML6	1.64045702306815	0.925193636220292	-0.826270550616876	0.0763167576888913
TMEM52	33.6891612391785	11.4145431252252	-1.56141139417465	1.9978485554045e-05
PRKCZ	8.93167572519016	12.9953747587769	0.540995460132282	0.015128476208237
FAAP20	12.6743213128498	16.8457499301359	0.410476159452017	0.00189526866666236
SKI	18.5168992917609	17.8620905178328	-0.0519415969517774	0.159677210014912
MORN1	2.18176134177415	3.93522452075712	0.850952652816623	0.00174450056717675
RER1	93.3174955364529	105.497105404007	0.176983921496434	0.0223357897712037
PEX10	47.2497617694358	63.0370976649928	0.415894056827	0.00127364393423217
PANK4	23.9765694645301	29.6011166328425	0.304026344532284	0.00013946566009046
LOC115110	1.64380291508384	4.90715027556365	1.57784811643655	0.00366582520144581
TNFRSF14	19.1604413887686	19.2363621430532	0.00570519566068573	0.892511688646417
FAM213B	37.9857401702695	41.4418683270227	0.125631112506319	0.19394777888086
ARHGEF16	8.53712121470378	9.29654826263549	0.122945490401765	0.305443479209069
MEGF6	9.77799817295099	4.38707364552833	-1.15628021078308	0.00550673946305066
TPRG1L	37.5323716431989	51.556329327065	0.458014095369626	0.000753416473218503
WRAP73	37.9712426610233	49.0190425840649	0.368435092562288	0.00201396077694543
TP73-AS1	1.18808864294026	2.12205183797545	0.836817419970653	0.0152897557536707
SMIM1	6.46736661197995	5.20659270428045	-0.312838840397332	0.105552766070215
LRRC47	88.9674279126626	93.2459385450232	0.0677636441141441	0.196896990631874
CEP104	25.9951528826143	28.2652953166042	0.120789130372737	0.0083185293508797
DFFB	9.23631843992951	8.58387479561797	-0.105688880568677	0.181726556904369
C1orf174	25.7421991510646	32.0053796881428	0.314179115791463	0.00271260487464236
LINC01134	1.10342962699311	1.62920489529863	0.562173432005129	0.0527088404609433
NPHP4	12.848666231216	15.7206104454824	0.29103863305905	0.0165928455705793
KCNAB2	96.5660699414103	79.395460663055	-0.282459838312042	0.00130047070034679
RPL22	460.19260682546	488.750839375988	0.0868613738056248	0.0100440039334811
LOC102724450	41.2218057464768	38.9026939026095	-0.0835376431402462	0.3230121903852
RNF207	13.3033980977273	14.3228768411654	0.106526494649179	0.220764314322709
ICMT	59.0424930406568	59.1314193611208	0.00217126746752103	0.947204465307864
LINC00337	0.674612624848486	1.00170576341419	0.570327577316325	0.0286420796364304
GPR153	1.97023186828683	3.06396098001201	0.637032500075526	0.0320854465374402
ACOT7	118.650831250124	138.165216850836	0.219672254502106	0.0100534841801733
ESPN	5.24642973527071	3.06909793705264	-0.773521299709239	1.08852004088345e-05
TNFRSF25	71.1495168703868	46.9004977009197	-0.601250727909709	0.000169269148792647
PLEKHG5	1.90075621845328	2.26680962835457	0.254089724516901	0.00144169099396696
NOL9	15.6437323367901	13.5380882720358	-0.208560728197734	0.018637604507952
ZBTB48	31.3898414299819	30.2105366640786	-0.0552459284455963	0.197668013729665
KLHL21	89.4025949141481	52.2047948768357	-0.776134385572743	3.77642458502673e-06
PHF13	9.84641566150556	24.8920262947163	1.33801312671153	0.00248659710764728
THAP3	8.41590294685734	13.7042722844242	0.703435748603779	0.000369380177204868
DNAJC11	81.775183555924	67.2186248907931	-0.282802063290665	0.000978788580684707
CAMTA1	8.25464594409776	9.39103803535986	0.186078297719663	0.0201322478056378
VAMP3	37.293857351929	41.330867613042	0.148281624282266	0.0120391520228775
PARK7	728.821094601187	818.863652004209	0.168058534133582	5.70900844558993e-05
ERRFI1	1.83828622978744	1.64440561867548	-0.160795212016045	0.306759525614707
RERE	45.1995835203131	40.0018562580307	-0.176242530564325	0.0739156035817775
