DMSO_MM1S	KB528_1_MM1S	KB528_3_MM1S	KB528_6_MM1S	KB528_24_MM1S
WASH7P	37.8063782529313	32.4148092598351	34.4201890200485	43.0662107457514	67.6359526521884
LOC100133331	0.444741116895876	0.386658776566089	0.614233434570208	0.793764540622798	1.09327978527073
LOC100288069	1.67667737667142	1.60270067801948	2.64366366491139	3.12633490475782	4.84652398619961
LINC00115	3.23168687156123	3.17169359013849	4.26081124479296	3.61738058844721	5.15799842969568
LINC01128	3.72442382196097	4.1982928450238	6.21114563114743	4.82674254487261	3.41256646593457
NOC2L	124.327920380898	117.654816779173	137.891119831969	119.506981814006	94.7815507021591
KLHL17	14.6042855453734	12.2145391214354	16.4508170533869	19.9567896449979	34.0908517151929
PLEKHN1	3.78885085081107	3.26619716872169	2.4506147141767	2.17784885222857	8.61424887021646
ISG15	10.5766325240114	11.5270243601971	10.5058313950729	12.1354358540416	16.0026827623229
C1orf159	20.3802714672535	18.9442870211711	19.0403231073183	17.3318605101982	17.4208341790791
SDF4	234.90541178215	228.540893654448	246.41143564344	244.640426544829	289.048273361383
B3GALT6	20.7614099863506	24.9811131379721	22.5448806790719	18.0680687469322	26.2394233454928
UBE2J2	71.1783240727035	75.2879416741072	87.4009501318129	76.4733023657533	84.0409408783286
SCNN1D	0.285784261957534	0.200665049006405	0.304965400889352	0.442572631353258	0.818348120307046
ACAP3	32.0956945063626	29.5744363000454	33.6649868835476	28.5375889893295	24.9829804041256
PUSL1	68.964642052378	74.8747195703307	71.5126163110342	54.5607269085314	37.1906297486948
CPSF3L	84.6953793997998	81.7457459890405	92.4920059581538	86.4769708773711	106.488311371598
CPTP	51.3229712806349	58.2154238185709	61.4256224065118	56.3088971131627	69.3181167321454
TAS1R3	0.252807167375453	0.283962192143397	0.356871610950778	0.337206436887496	0.889753139883106
DVL1	31.2832792470995	31.3553745646539	33.7785950504144	29.334800948521	37.72349205432
AURKAIP1	326.463360884935	326.106240576753	301.167245315254	305.550359121748	228.714357206463
CCNL2	57.5017880592608	56.4965405133114	78.8208049804592	83.7832120777889	151.144760045775
LOC148413	60.8175574341338	47.9188681560819	49.774223877157	52.6500445709195	88.0174447386591
MRPL20	288.979307135079	279.108864481836	277.284015500184	250.088899891846	204.739219894108
ATAD3C	15.8190141647124	16.0476369142321	13.5320947117132	14.1970165216491	23.8994902335493
ATAD3B	60.6077750782211	60.4843013169339	62.7605698018473	40.199775371791	36.9966307671407
ATAD3A	95.8112556321698	95.9954387539297	92.1373607472559	63.3310938584982	34.9198290103943
SSU72	210.080732156757	199.859564850511	200.699052710841	166.837499065129	256.987171728064
MIB2	7.3993003799346	7.51765835105188	8.27406905606413	7.61303429714388	31.3482454547009
CDK11B	29.4714281425903	27.3630838405177	34.5905559875866	42.2902067949917	43.878484219893
SLC35E2B	30.0210777201124	25.5207825458467	22.3079669819172	23.8756990557159	70.4652975442616
CDK11A	13.0824596095807	11.9206183159079	15.8013253381011	17.7200020692357	27.60577673136
SLC35E2	5.27507603987736	3.51230302026066	3.90551839997917	4.37402940016849	14.9051862805499
NADK	64.2443027133215	57.1438101685803	50.0125002122289	47.6336611393081	74.0017129016417
GNB1	137.245650367315	125.913447567162	164.997658976775	177.597748375938	217.40461592259
TMEM52	11.3389507779352	11.4820226205605	8.25598122998386	5.76086304053213	1.35680622238106
FAAP20	9.55989234939809	9.22749920836839	8.14485964831281	8.59154292410251	16.0394126359846
SKI	5.80987422228172	6.31535223714503	14.9368497441141	9.58917496076621	6.57376199578907
MORN1	0.790871842386014	0.721236285367603	1.00662904694408	1.11875224498973	1.96522555094478
RER1	91.000919537295	84.4649616878014	94.0045029760564	100.211670492893	116.788795070685
PEX10	32.0302593870648	30.5368312670195	33.3491601815596	33.0510059099723	54.0045912194425
PANK4	24.1600230204457	21.2193516826485	23.371453676368	30.9087014272432	27.0841280956965
LOC115110	8.34061857752574	6.30517280096235	4.53208514335534	3.00067736701882	35.6745297725743
TNFRSF14	41.9867110458425	37.1186784815334	30.7017245995105	25.6520928377938	64.482532227147
FAM213B	7.53335636741404	7.05373017927414	8.45249586758171	8.91288002240413	7.17310446884747
TPRG1L	42.333781857943	43.2227450330927	58.2545019078266	69.2486826076201	93.3684234586923
WRAP73	40.9036664212754	41.1872846489884	56.6011033804487	56.4064665391885	45.1823628336793
TP73	8.55356690794431	9.55486876265254	20.8476790909958	16.0621039188545	3.41256341840823
TP73-AS1	1.7603847712236	1.57544106632931	2.54967100107542	3.09738598988553	4.43531868941869
SMIM1	1.81365232468584	1.49936666023612	1.62842671585285	2.11361398861107	6.62460504828204
LRRC47	56.4842057140209	54.7067508438896	77.3779294993841	64.1742589899377	77.5628798431505
CEP104	14.4910921002746	12.7651123656054	22.7714895137562	24.624706950866	28.1493689354653
DFFB	5.78711202202667	4.79800867820047	6.26090033379483	5.83762489567528	6.2820980770123
C1orf174	30.4444427772563	27.9038253698051	34.2435780318773	38.4586425088936	28.0540993939553
LINC01134	2.2618495112724	1.68261580859652	2.7708316974386	3.11657331473343	4.77773060757111
NPHP4	7.64188974599717	7.21969184655353	9.95896457208185	9.42269188661375	10.1838414030778
KCNAB2	70.8967551882241	67.1284282799334	71.1059558864085	46.2373573412651	52.9675972438012
RPL22	431.234565493714	419.467779474383	396.050779421795	398.325291299121	449.049256059673
LOC102724450	0.368044825005556	0.479080996810085	0.72386320025594	0.885946423994304	1.26201140822351
RNF207	0.960105920109453	0.774911373129518	0.80796168643593	1.14528297517769	5.03578031275205
ICMT	49.5060688386437	53.1266499472057	83.5337726507041	79.7565629948596	34.1297567319052
