GENE	p300H3K27ac_34_DMSO_compare_TSS_SIGNAL	p300H3K27ac_34_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
C18orf1	5118.4	1469.494	-3648.906	0.223059751720353	-1.80037342914378
BIRC3	4799.2	1419.0508	-3380.1492	0.228207392342554	-1.75786769986754
UBE2D3	4744.2252	1566.4209	-3177.8043	0.248218783810425	-1.59870057432949
BRD2	5012.1279	2310.4488	-2701.6791	0.315524014927696	-1.11725011051859
ATP2C1	7113.3198	4416.0584	-2697.2614	0.383026588545773	-0.687763774445548
CBLL1	2962.6	284.7168	-2677.8832	0.0876775558208549	-3.37926432338523
MAP2K3	3042	591.1168	-2450.8832	0.162702393713299	-2.36350502426122
ACBD6	2356.4	86.394	-2270.006	0.0353668790737164	-4.76950952613366
GART	2653.9467	459.6777	-2194.269	0.147634281129092	-2.52944481234507
IVNS1ABP	2532.6	389.4511	-2143.1489	0.133280044281224	-2.70110513707346
WRAP53	2090.7381	8.4899	-2082.2482	0.0040442962841578	-7.9440490753622
DEGS1	2375.4	319.4794	-2055.9206	0.11855053699249	-2.89437565875094
FAM172B	2282.9586	233.176	-2049.7826	0.0926723077533293	-3.29141348776755
LOC100129387	2093.4092	103.706	-1989.7032	0.0472009842724678	-4.33528307361381
IQCG	2626.6947	644.9575	-1981.7372	0.197135105009023	-2.02597252495393
MIR155	2302.2	343.0045	-1959.1955	0.129670314714798	-2.74671376190197
RPL22L1	2262.9402	379.1856	-1883.7546	0.143515346619756	-2.57722237832028
ZNF292	1875.6	19.9388	-1855.6612	0.010518803413573	-6.55562978899155
CCL5	2236.6	391.8901	-1844.7099	0.149093237977195	-2.5127862308361
CAGE1	2100.4661	258.9208	-1841.5453	0.109740712724988	-3.02012673029065
RIOK1	2099.3356	258.9208	-1840.4148	0.109793320183505	-3.0193500427708
NFIA	2740.7856	900.5471	-1840.2385	0.247312501821105	-1.60571583829122
GCFC1	2427.5595	595.0926	-1832.4669	0.196877636033601	-2.02832057378397
FLJ10038	1932.8412	103.706	-1829.1352	0.0509224632750962	-4.22015184221692
HNRNPK	2000.8399	191.9199	-1808.92	0.0875243608533867	-3.38202951646307
HOOK1	1799.256	0	-1799.256	0	-8
C21orf49	2383.5047	595.0926	-1788.4121	0.199789545233255	-2.00189838718447
ETV1	1781.5798	0	-1781.5798	0	-8
SLC19A2	1829.2	65.5599	-1763.6401	0.0346006372628004	-4.8022553601686
RBBP5	1977.4825	223.9538	-1753.5287	0.101730765500687	-3.14239187657516
THOC1	1764.6	44.1682	-1720.4318	0.0244189388115072	-5.32018934084434
DENND4A	3197.6	1493.7007	-1703.8993	0.318397987150983	-1.09809838053611
TRPV3	3388.4	1697.1689	-1691.2311	0.333722526107158	-0.997474047485027
MRRF	1760.1172	92.7899	-1667.3273	0.0500780098473367	-4.24555990646137
DDX18	2189.4528	527.271	-1662.1818	0.194083402957636	-2.05395379312814
NDNL2	1737.4	95.7975	-1641.6025	0.0522570535907888	-4.18079812556101
HEATR1	1638.56	0	-1638.56	0	-8
OPA1	1708.4	72.7814	-1635.6186	0.0408613069954582	-4.55293219019524
RBM18	1718.5902	92.7899	-1625.8003	0.0512260789438948	-4.21111398379615
DPP9	2075.2	456.0272	-1619.1728	0.180160516606332	-2.18605860227239
BCLAF1	1969.2	353.701	-1615.499	0.152266928293543	-2.47700744167333
GPATCH2	1604.4431	0	-1604.4431	0	-8
UBE2M	2633.9052	1038.4815	-1595.4237	0.282781086207506	-1.3427279052233
MAPRE2	2524.4784	930.9149	-1593.5635	0.269409244962071	-1.43926413910635
LOC645513	1668	83.8412	-1584.1588	0.0478589041061484	-4.31431611256863
PIKFYVE	1665.4	87.75	-1577.65	0.0500527621709494	-4.24632579343111
FLJ40852	2019.184	452.5571	-1566.6269	0.183092436339712	-2.1576006471711
LOC100131691	2604.2272	1038.4815	-1565.7457	0.285084969874204	-1.32637980314834
C7orf55	2997.2	1442.8745	-1554.3255	0.32496628153424	-1.0546695356893
SPATA17	1551.389	0	-1551.389	0	-8
RMI1	1739.6738	191.9199	-1547.7539	0.0993583174349761	-3.18024060071578
HNRNPH3	1874.5099	326.975	-1547.5349	0.148524752543158	-2.51926120623405
SON	2005.402	459.6777	-1545.7243	0.186475796299811	-2.12519688166202
SSBP1	1989.372	452.5571	-1536.8149	0.185327698498699	-2.13614133985732
RPS3A	1701.0872	169.1203	-1531.9669	0.0904286289088243	-3.33033535124641
COPS4	1603.8	80.9548	-1522.8452	0.0480513840945875	-4.30823380935229
MTR	1660.3416	156.7098	-1503.6318	0.0862440104886411	-3.40531278525048
C7orf13	1788.9336	289.9097	-1499.0239	0.139457216424153	-2.6254243297378
RNF32	1788.9336	289.9097	-1499.0239	0.139457216424153	-2.6254243297378
PREPL	1583.5823	89.4744	-1494.1079	0.0534795981510967	-4.14557307286085
CYP51A1	1580.5259	87.7789	-1492.747	0.0526156251543483	-4.1703866753843
C1orf151	1654.8	164.6552	-1490.1448	0.0904969795354126	-3.32913688295682
CLCN3	1686.8	205.2362	-1481.5638	0.108473717363336	-3.0389318025903
TLR5	1531.248	55.727	-1475.521	0.0351152349595929	-4.78018765990123
SFT2D3	2768.2	1296.8696	-1471.3304	0.31902764961269	-1.0939147560192
C1orf9	1825.8835	359.5971	-1466.2864	0.164539140727216	-2.34414142621338
DHX36	1679.236	223.6016	-1455.6344	0.11750955520324	-2.90880258437726
CLTC	2475	1021.0025	-1453.9975	0.292048561178088	-1.27744212642689
CSTF2T	1483.404	33.5027	-1449.9013	0.0220861968636568	-5.46849038633701
NNT	1930.8802	483.244	-1447.6362	0.20017362818367	-1.99843493111197
ENO1	1840.8	394.692	-1446.108	0.176557106891906	-2.22153370597602
TBCCD1	2583.069	1138.3633	-1444.7057	0.305893862424959	-1.18212512553901
TSGA10	2777.0631	1336.5016	-1440.5615	0.324901076674447	-1.05509839351161
THAP5	1923.6787	490.9332	-1432.7455	0.203317642889112	-1.97026921566046
GORAB	1491	62.0259	-1428.9741	0.0399387415238857	-4.58726568352397
C2orf34	1515.5319	89.4744	-1426.0575	0.0557470708993479	-4.08220544488595
SMC5	1421.2214	0	-1421.2214	0	-8
ARMC5	1764	351.8893	-1412.1107	0.166307991632644	-2.32565700947479
HSPA9	1923	519.7012	-1403.2988	0.212756762882009	-1.8876044673451
NUCKS1	1886.2	486.8277	-1399.3723	0.205150449781939	-1.95399949445452
