GENE	p300H3K27ac_34_DMSO_compare_TSS_SIGNAL	p300H3K27ac_34_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	760.8054
A1BG-AS1	0.0	760.8054
A2LD1	562.625	605.4993000000001
A2M	0.0	0.0
A2ML1	0.0	0.0
A4GALT	0.0	1304.6221
A4GNT	0.0	1177.166
AAA1	0.0	3959.8536000000004
AAAS	870.486	4243.831700000001
AACS	210.7845	614.2698
AADAT	0.0	1565.9778000000001
AAGAB	967.0815	1871.4429
AAK1	1069.6000000000001	2107.004
AAMP	940.8346	6968.3681
AANAT	0.0	7511.5593
AARS	1154.1999999999998	2511.0008
AARS2	658.6326	3844.5496
AARSD1	774.0978	1573.2704
AASDH	1151.6	1255.9457
AASDHPPT	1219.9502	494.7731
AASS	1448.434	1600.2522
AATF	839.9538	32.9766
AATK	0.0	136.6599
ABAT	0.0	232.22400000000002
ABCA1	887.0491999999999	3873.2091
ABCA10	0.0	693.3222
ABCA11P	757.4825999999999	23.0746
ABCA12	0.0	271.0474
ABCA13	0.0	3040.6849
ABCA17P	0.0	139.63510000000002
ABCA2	0.0	1000.2986999999999
ABCA3	0.0	139.63510000000002
ABCA5	914.5437	1720.2053999999998
ABCA7	1131.0	10272.5066
ABCB1	0.0	12.5136
ABCB10	908.4	837.1205000000001
ABCB11	0.0	1317.3461
ABCB5	0.0	597.1157999999999
ABCB6	677.6093999999999	2045.0571
ABCB7	328.4008	0.0
ABCB8	1922.6000000000001	2866.881
ABCB9	701.4543	13624.135999999999
ABCC1	617.4	1387.5278
ABCC10	662.6963999999999	1249.0835000000004
ABCC11	0.0	562.4761
ABCC12	0.0	53.7261
ABCC13	0.0	0.0
ABCC2	0.0	77.9416
ABCC3	0.0	1686.3388
ABCC4	0.0	297.14300000000003
ABCC5	758.6115	649.9471
ABCC6	0.0	1628.5321
ABCC6P1	0.0	2065.9637000000002
ABCC6P2	0.0	992.0169999999999
ABCC8	0.0	3079.7216
ABCD1	214.20419999999996	587.47
ABCD2	2031.4	1312.6227999999999
ABCD3	247.8024	0.0
