GENE	p300H3K27ac_34_DMSO_compare_TSS_SIGNAL	p300H3K27ac_34_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
C18orf1	5118.4	1469.494	-3648.906	0.223059751720353	-1.80037342914378
BIRC3	4799.2	1419.0508	-3380.1492	0.228207392342554	-1.75786769986754
UBE2D3	4744.2252	1566.4209	-3177.8043	0.248218783810425	-1.59870057432949
BRD2	5012.1279	2310.4488	-2701.6791	0.315524014927696	-1.11725011051859
ATP2C1	7113.3198	4416.0584	-2697.2614	0.383026588545773	-0.687763774445548
DENND4A	3197.6	1493.7007	-1703.8993	0.318397987150983	-1.09809838053611
TRPV3	3388.4	1697.1689	-1691.2311	0.333722526107158	-0.997474047485027
C7orf55	2997.2	1442.8745	-1554.3255	0.32496628153424	-1.0546695356893
TSGA10	2777.0631	1336.5016	-1440.5615	0.324901076674447	-1.05509839351161
GPBP1	3209.3	1976.778	-1232.522	0.381170125092604	-0.699107796848331
C17orf49	2626.6	1506.8228	-1119.7772	0.364546012568567	-0.801686743635675
CD55	3095.7612	2044.8618	-1050.8994	0.397784821022666	-0.598290846232178
MRPL47	2692.888	2014.9645	-677.9235	0.428000771052194	-0.418399806585478
NFKB2	3423.0493	2760.0681	-662.9812	0.446387788140655	-0.310578207219372
LPXN	5710.7206	5089.0941	-621.6265	0.471220501588791	-0.166263933965172
NDUFB5	2634.284	2014.9645	-619.3195	0.433395741268723	-0.38665646842818
GPBP1L1	2385.1376	1780.6123	-604.5253	0.427440999278425	-0.42169907182312
TRA2B	2539.3568	2012.7248	-526.632	0.442154815502429	-0.335313193502098
CLCN6	3006.8152	2526.2938	-480.5214	0.456577631129262	-0.251213772288629
MTHFR	3006.8152	2526.2938	-480.5214	0.456577631129262	-0.251213772288629
DSCR3	2670.8	2235.8542	-434.9458	0.45567796483396	-0.256445832204961
RGS2	3045	2612.8109	-432.1891	0.46180597870459	-0.220839513540388
DCAKD	2317.1399	1915.5284	-401.6115	0.452558118007971	-0.274602735612978
AHCYL2	2205.3618	1909.1588	-296.203	0.464005162594155	-0.208078247909089
SLC1A5	2762.4165	2520.5418	-241.8747	0.477108024873109	-0.132196976772722
HNRNPL	2335.6	2138.8598	-196.740200000001	0.478015200851732	-0.126951297776422
MDM2	3483.2	3331.7558	-151.4442	0.488888834759574	-0.0641306499424258
HCLS1	3080	2982.2761	-97.7239	0.491939999235601	-0.0465165219837463
KIAA0319L	2969.1715	2957.8053	-11.3662000000008	0.499041146913212	-0.00553333715613477
FAM76B	2115.3673	2164.1324	48.7650999999996	0.505697523474531	0.0328805786467064
NCDN	2898.704	2957.8053	59.1012999999994	0.505045778720099	0.0291190682652409
IGF1	3891.2026	4011.7106	120.508	0.507624277083038	0.0440014375450825
RPL41	2323.3304	2474.934	151.6036	0.515797753871171	0.0911957189202394
MXI1	2722.0974	2919.065	196.9676	0.517458068571116	0.100787647099175
PARP8	2046.5668	2255.5217	208.9549	0.524285286088373	0.140255408895926
NR4A1	2433	2653.767	220.767	0.521700128981728	0.125305387771273
MAP1LC3B2	1951.8	2211.6627	259.8627	0.531207521085754	0.180326149157874
MGST3	2156.4	2516.6985	360.2985	0.53855027879254	0.222907577578626
YPEL5	2101.6	2466.0884	364.4884	0.539898562257443	0.230736410278133
FBXO40	3149.4	3527.1254	377.7254	0.528287573054092	0.163415865475547
HBP1	1853.2	2256.5032	403.3032	0.549067192978802	0.284070236987632
C1orf31	2121.0384	2536.2802	415.2418	0.544579492586142	0.257943398398898
TOR3A	4192	4621.5548	429.5548	0.524368986733934	0.140739573054068
SMC4	2094.9551	2601.9021	506.947	0.553966618359187	0.312647355991505
EFCAB2	1860.0654	2382.1992	522.1338	0.561539513589039	0.356940709249402
DCAF8	2131.8401	2699.6053	567.7652	0.558757282034068	0.340649259306372
FAIM3	2665.1967	3238.0724	572.8757	0.548521902889367	0.280893230792443
EIF5A	1877.9928	2499.0091	621.0163	0.570940830526027	0.412164623044518
AMPD1	2034.6	2666.4185	631.8185	0.567200171622383	0.390158042026752
HIST1H2BJ	2146.5734	2804.1402	657.5668	0.566411314926398	0.385522977107383
FAM96A	1940.5038	2604.4032	663.8994	0.573037732125212	0.424521557959636
TRAPPC3	1988.2457	2657.5436	669.2979	0.57203274371483	0.418597310191911
ALDOA	2598.9803	3277.112	678.1317	0.557702607904917	0.334479281520823
TRIM59	1920.887	2601.9021	681.0151	0.575287072306776	0.43779402767906
NFE2L2	2976.144	3660.2069	684.0629	0.55153908452912	0.298480869252071
CREM	2640.4553	3326.0754	685.6201	0.557455507603439	0.333034155590829
LNPEP	2133.8	2844.8911	711.0911	0.571413458448949	0.414948469036507
GGA1	2008.8704	2763.8839	755.0135	0.579096204470446	0.460312521762402
LOC646329	2710.6	3469.0926	758.4926	0.561369767810133	0.355946118692846
C12orf77	1868.6	2630.805	762.205	0.584700643751785	0.493546544260257
FAM36A	2161.8	2960.1099	798.3099	0.577930880822406	0.453417682188726
ZNF398	2642.419	3446.7159	804.2969	0.5660436099059	0.383363139307078
SIAH1	1673.582	2479.4298	805.8478	0.597019685809706	0.567069138904259
IFT80	1787.8171	2601.9021	814.085	0.592726318348563	0.541367528497006
PEA15	1781	2595.382	814.382000000001	0.593042837668193	0.543259380119055
LRRC14B	2019.8	2843.0656	823.2656	0.584648195911481	0.493234942878263
SH2D3C	2891.8	3717.2252	825.4252	0.562446818934811	0.362258315989367
POU2F1	2707.5767	3535.2986	827.7219	0.566293323206376	0.384829866792832
CXCR4	1988.8449	2822.4976	833.6527	0.586634104722331	0.505041582223636
SLC3A2	2892.781	3727.1606	834.3796	0.563020163199023	0.365619877669708
LSG1	1930.2	2768.1396	837.9396	0.589174013730297	0.520166359513349
CCNT1	1855.2	2699.8888	844.6888	0.592719246219744	0.54132526329353
HIST1H2AG	1959.1477	2804.1402	844.9925	0.588698449237133	0.517332315919405
MRPL36	1672.4086	2555.1645	882.755900000001	0.604404569609926	0.611488806756562
NCF2	2055.5359	2951.3842	895.8483	0.589461014167172	0.521877168726084
RNF139	1836.2	2751.968	915.768	0.599796694454083	0.58374048790358
TLCD1	2773.9013	3693.1972	919.2959	0.571074833636754	0.41295384288282
TSEN15	2185.2	3111.0085	925.8085	0.587402950620241	0.509617008508094
ABCB8	1922.6	2866.881	944.281	0.598578635138129	0.576423382788519
RHEB	1965.3161	2918.7192	953.4031	0.597604034516294	0.570574047597815
